,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kruisfontein,-34.0033,24.7314,11.05,77,14,3.22,ZA,1651364678
1,castro,-24.7911,-50.0119,15.2,98,53,2.3,BR,1651364678
2,narsaq,60.9167,-46.05,7.12,72,37,0.16,GL,1651364679
3,college,64.8569,-147.8028,12.77,31,40,8.23,US,1651364680
4,barrow,71.2906,-156.7887,-2.99,74,0,1.54,US,1651364558
5,punta arenas,-53.15,-70.9167,6.06,87,40,3.6,CL,1651364681
6,kapaa,22.0752,-159.319,27.99,77,40,7.2,US,1651364682
7,souillac,-20.5167,57.5167,23.79,85,9,3.67,MU,1651364682
8,songea,-10.6833,35.65,15.1,94,18,0.7,TZ,1651364683
9,longyearbyen,78.2186,15.6401,-12.09,61,0,2.06,SJ,1651364684
10,rikitea,-23.1203,-134.9692,24.76,73,73,4.69,PF,1651364684
11,ribeira grande,38.5167,-28.7,16.7,85,41,2.42,PT,1651364685
12,lebu,-37.6167,-73.65,10.0,79,4,5.98,CL,1651364686
13,diu,20.7141,70.9822,26.7,88,2,3.25,IN,1651364686
14,biak,-0.9131,122.8766,26.31,81,96,1.56,ID,1651364687
15,morondava,-20.2833,44.2833,21.75,78,0,4.1,MG,1651364687
16,upernavik,72.7868,-56.1549,-14.23,79,30,2.49,GL,1651364688
17,mataura,-46.1927,168.8643,13.04,72,100,1.41,NZ,1651364688
18,kodiak,57.79,-152.4072,4.73,87,100,11.83,US,1651364689
19,victoria,22.2855,114.1577,22.4,89,100,7.6,HK,1651364468
20,ushuaia,-54.8,-68.3,4.81,65,20,2.57,AR,1651364616
21,sao felix do xingu,-6.6447,-51.995,22.15,97,64,0.65,BR,1651364690
22,tiarei,-17.5333,-149.3333,30.01,74,24,5.77,PF,1651364691
23,saskylakh,71.9167,114.0833,-12.78,89,100,7.14,RU,1651364692
24,lavrentiya,65.5833,-171.0,-1.84,80,99,5.53,RU,1651364692
25,luba,3.4568,8.5547,24.94,82,45,0.78,GQ,1651364693
26,mar del plata,-38.0023,-57.5575,10.49,73,0,2.68,AR,1651364611
27,tuatapere,-46.1333,167.6833,12.86,98,100,1.37,NZ,1651364694
28,shizuishan,39.2333,106.7694,12.97,13,0,4.96,CN,1651364694
29,butaritari,3.0707,172.7902,27.2,81,70,5.94,KI,1651364695
30,esil,51.9556,66.4042,10.11,59,100,5.81,KZ,1651364696
31,bredasdorp,-34.5322,20.0403,12.57,90,25,2.27,ZA,1651364696
32,bambous virieux,-20.3428,57.7575,23.45,83,37,4.36,MU,1651364697
33,beringovskiy,63.05,179.3167,-3.16,91,100,8.51,RU,1651364698
34,oktyabrskiy,54.4815,53.471,4.5,63,68,1.97,RU,1651364698
35,barcelos,41.5388,-8.6151,13.25,93,1,0.17,PT,1651364699
36,sangin,32.0728,64.8359,26.09,16,41,0.97,AF,1651364700
37,puerto ayora,-0.7393,-90.3518,22.79,87,63,2.84,EC,1651364700
38,tiksi,71.6872,128.8694,0.68,96,100,4.2,RU,1651364701
39,east london,-33.0153,27.9116,16.14,71,3,5.3,ZA,1651364467
40,port elizabeth,-33.918,25.5701,15.73,72,0,4.12,ZA,1651364702
41,bengkulu,-3.8004,102.2655,23.84,93,95,2.31,ID,1651364702
42,hailey,43.5196,-114.3153,4.89,79,100,4.02,US,1651364660
43,hilo,19.7297,-155.09,25.71,83,75,3.6,US,1651364703
44,albany,42.6001,-73.9662,13.23,66,67,2.29,US,1651364124
45,goderich,43.7501,-81.7165,14.18,26,100,5.14,CA,1651364419
46,mata,40.683,-7.4592,14.22,81,5,1.84,PT,1651364704
47,avarua,-21.2078,-159.775,29.03,74,40,4.63,CK,1651364705
48,hermanus,-34.4187,19.2345,14.28,85,37,2.5,ZA,1651364706
49,vostok,46.4856,135.8833,4.17,49,100,4.39,RU,1651364706
50,livingston,55.9029,-3.5226,10.2,89,75,5.66,GB,1651364707
51,saint-philippe,-21.3585,55.7679,23.77,78,15,3.64,RE,1651364707
52,nikolskoye,59.7035,30.7861,3.17,80,94,2.78,RU,1651364708
53,busselton,-33.65,115.3333,14.09,81,0,2.14,AU,1651364709
54,pilar,-9.5972,-35.9567,22.96,84,100,1.05,BR,1651364704
55,arraial do cabo,-22.9661,-42.0278,23.28,85,100,5.78,BR,1651364710
56,venancio aires,-29.6064,-52.1919,17.37,97,100,0.51,BR,1651364710
57,bratsk,56.1325,101.6142,14.27,86,81,1.86,RU,1651364711
58,norman wells,65.282,-126.8329,9.02,43,20,7.2,CA,1651364712
59,saint george,37.1041,-113.5841,29.97,10,0,3.13,US,1651364633
60,jamestown,42.097,-79.2353,13.8,28,0,3.6,US,1651364712
61,broken hill,-31.95,141.4333,16.84,51,0,4.12,AU,1651364666
62,bonavista,48.6499,-53.1147,2.03,97,100,2.66,CA,1651364559
63,bluff,-46.6,168.3333,13.22,95,100,4.61,NZ,1651364714
64,vaini,-21.2,-175.2,28.09,89,75,4.12,TO,1651364714
65,saint-pierre,-21.3393,55.4781,23.82,77,0,2.57,RE,1651364715
66,buala,-8.145,159.5921,29.41,67,100,0.6,SB,1651364716
67,richards bay,-28.783,32.0377,17.81,83,10,4.35,ZA,1651364716
68,chuy,-33.6971,-53.4616,13.54,72,100,2.38,UY,1651364717
69,tarko-sale,64.9225,77.785,-3.36,84,94,7.65,RU,1651364717
70,wajir,1.7471,40.0573,25.42,81,82,4.92,KE,1651364723
71,tilichiki,60.4667,166.1,-1.39,85,33,3.71,RU,1651364723
72,sao benedito do rio preto,-3.3336,-43.5283,23.3,96,94,0.92,BR,1651364724
73,zapolyarnyy,69.4154,30.8136,-5.4,93,73,3.27,RU,1651364482
74,provideniya,64.3833,-173.3,0.43,87,100,7.08,RU,1651364725
75,bari,41.1177,16.8512,14.92,58,0,3.09,IT,1651364480
76,nemuro,43.3236,145.575,5.08,56,98,3.56,JP,1651364725
77,sitka,57.0531,-135.33,12.94,41,75,1.54,US,1651364726
78,lakatoro,-16.0999,167.4164,26.69,81,100,2.52,VU,1651364727
